ProductID,Name,Price,Rating,Category,Discount
1,Product_1,899.54,3.9,Home,0.33
2,Product_2,407.82,2.5,Electronics,0.42
3,Product_3,188.6,2.8,Beauty,0.29
4,Product_4,787.7,1.9,Electronics,0.02
5,Product_5,817.81,2.4,Electronics,0.23
6,Product_6,327.77,3.8,Home,0.27
7,Product_7,864.45,2.5,Toys,0.14
8,Product_8,918.17,1.4,Beauty,0.44
9,Product_9,71.88,3.1,Clothing,0.31
10,Product_10,546.29,4.1,Electronics,0.47
11,Product_11,303.38,5,Electronics,0.1
12,Product_12,84.68,2.8,Toys,0.33
13,Product_13,474.32,3.7,Clothing,0.35
14,Product_14,322.92,4,Home,0.24
15,Product_15,16.64,1.8,Clothing,0.1
16,Product_16,215.25,4.4,Electronics,0.04
17,Product_17,891.85,3.2,Home,0.15
18,Product_18,181.33,4.4,Clothing,0.39
19,Product_19,579.82,1.1,Clothing,0.08
20,Product_20,689.18,3.6,Clothing,0.4
21,Product_21,153.07,1.6,Beauty,0.12
22,Product_22,192.69,3.3,Electronics,0.41
23,Product_23,219.49,1.4,Books,0.19
24,Product_24,458.04,1.6,Sports,0.13
25,Product_25,708.94,1.6,Home,0.31
26,Product_26,695.95,2.5,Electronics,0.43
27,Product_27,440.02,2.5,Sports,0.21
28,Product_28,136.79,4.7,Home,0.49
29,Product_29,348.45,4.2,Clothing,0.47
30,Product_30,16,4.3,Home,0.3
31,Product_31,681.09,3.9,Electronics,0.18
32,Product_32,91.08,4.6,Home,0.15
33,Product_33,582.12,5,Clothing,0.17
34,Product_34,129.6,2.8,Sports,0.43
35,Product_35,709.17,3.4,Electronics,0.11
36,Product_36,13.76,3,Home,0.38
37,Product_37,623.08,4.2,Home,0.2
38,Product_38,903.48,2.9,Beauty,0.29
39,Product_39,697.03,3.1,Toys,0.34
40,Product_40,50.61,2.6,Beauty,0.04
41,Product_41,822.75,3.7,Sports,0.25
42,Product_42,814.88,4.6,Books,0.32
43,Product_43,356.95,2,Sports,0.34
44,Product_44,290.53,3,Home,0.31
45,Product_45,198.68,1.6,Clothing,0.4
46,Product_46,75.51,1.4,Beauty,0.35
47,Product_47,478.87,2.1,Electronics,0.3
48,Product_48,141.96,4.4,Beauty,0.06
49,Product_49,805.69,4.4,Toys,0.15
50,Product_50,39.15,3.5,Toys,0.23
